"Age","Daily_vegetable_consumption","Dark_vegetable_frequency","Vegetable_supplement_use","New_dish_acceptance"
"45 to 64","2 to 3","Often","Rarely","Definitely"
"19 to 44","1 to 2","Sometimes","Rarely","Probably"
"19 to 44","1 to 2","Often","Sometimes","Definitely"
"19 to 44","1 to 2","Sometimes","Never","Definitely"
"65 and above","2 to 3","Often","Never","Definitely"
"19 to 44","Less than 1","Rarely","Sometimes","Probably"
"19 to 44","1 to 2","Sometimes","Always","Probably"
"45 to 64","1 to 2","Often","Sometimes","Probably not"
"19 to 44","More than 4","Always","Rarely","Neutral"
"65 and above","2 to 3","Always","Rarely","Neutral"
"19 to 44","2 to 3","Never","Always","Probably"
"45 to 64","1 to 2","Often","Sometimes","Probably"
"45 to 64","More than 4","Always","Rarely","Probably"
"45 to 64","2 to 3","Often","Always","Neutral"
"45 to 64","1 to 2","Often","Sometimes","Neutral"
"45 to 64","1 to 2","Sometimes","Sometimes","Neutral"
"45 to 64","Less than 1","Sometimes","Often","Probably not"
"45 to 64","1 to 2","Rarely","Often","Definitely"
"19 to 44","1 to 2","Sometimes","Rarely","Probably"
"45 to 64","2 to 3","Often","Sometimes","Probably"
"45 to 64","Less than 1","Rarely","Sometimes","Probably"
"65 and above","1 to 2","Always","Sometimes","Probably not"
"65 and above","Less than 1","Often","Often","Neutral"
"65 and above","Less than 1","Often","Rarely","Definitely"
"65 and above","1 to 2","Often","Rarely","Probably"
"45 to 64","1 to 2","Sometimes","Rarely","Definitely"
"65 and above","2 to 3","Often","Never","Probably"
"45 to 64","Less than 1","Sometimes","Sometimes","Neutral"
"65 and above","1 to 2","Often","Rarely","Definitely"
"65 and above","1 to 2","Often","Rarely","Definitely not"
"45 to 64","1 to 2","Sometimes","Often","Probably"
"65 and above","1 to 2","Often","Rarely","Neutral"
"45 to 64","2 to 3","Sometimes","Rarely","Probably"
"65 and above","2 to 3","Sometimes","Rarely","Probably"
"65 and above","Less than 1","Sometimes","Never","Definitely"
"45 to 64","3 to 4","Sometimes","Never","Neutral"
"65 and above","2 to 3","Sometimes","Never","Probably not"
"65 and above","2 to 3","Often","Never","Probably not"
"65 and above","3 to 4","Always","Always","Probably"
"45 to 64","1 to 2","Sometimes","Sometimes","Neutral"
"65 and above","1 to 2","Sometimes","Sometimes","Probably"
"65 and above","1 to 2","Sometimes","Rarely","Neutral"
"65 and above","1 to 2","Sometimes","Sometimes","Probably"
"65 and above","1 to 2","Sometimes","Sometimes","Probably not"
"65 and above","1 to 2","Sometimes","Rarely","Probably"
"45 to 64","Less than 1","Rarely","Rarely","Neutral"
"65 and above","1 to 2","Often","Never","Probably"
"65 and above","1 to 2","Often","Rarely","Probably"
"45 to 64","1 to 2","Always","Sometimes","Neutral"
"19 to 44","2 to 3","Sometimes","Often","Probably"
"45 to 64","1 to 2","Sometimes","Often","Probably not"
"65 and above","2 to 3","Often","Often","Probably"
"65 and above","2 to 3","Often","Often","Probably"
"45 to 64","1 to 2","Often","Rarely","Neutral"
"65 and above","1 to 2","Often","Always","Definitely"
"45 to 64","1 to 2","Sometimes","Rarely","Probably not"
"45 to 64","2 to 3","Often","Sometimes","Probably"
"19 to 44","Less than 1","Never","Never","Definitely not"
"19 to 44","Less than 1","Rarely","Never","Neutral"
"45 to 64","1 to 2","Always","Rarely","Probably"
"19 to 44","Less than 1","Sometimes","Never","Neutral"
"65 and above","Less than 1","Sometimes","Rarely","Probably not"
"45 to 64","1 to 2","Often","Sometimes","Neutral"
"65 and above","Less than 1","Often","Often","Probably"
"45 to 64","1 to 2","Sometimes","Sometimes","Neutral"
"65 and above","2 to 3","Always","Sometimes","Definitely"
"45 to 64","3 to 4","Often","Sometimes","Definitely not"
"65 and above","1 to 2","Often","Sometimes","Probably"
"65 and above","1 to 2","Sometimes","Rarely","Definitely not"
"65 and above","1 to 2","Often","Often","Definitely"
"45 to 64","2 to 3","Often","Sometimes","Probably"
"65 and above","3 to 4","Always","Always","Neutral"
"65 and above","1 to 2","Often","Never","Probably not"
"45 to 64","2 to 3","Often","Sometimes","Neutral"
"45 to 64","2 to 3","Sometimes","Always","Probably"
"65 and above","1 to 2","Sometimes","Never","Neutral"
"45 to 64","1 to 2","Always","Sometimes","Definitely not"
"65 and above","2 to 3","Always","Rarely","Probably"
"45 to 64","2 to 3","Always","Rarely","Neutral"
"65 and above","1 to 2","Often","Rarely","Neutral"
"65 and above","2 to 3","Often","Sometimes","Probably"
"65 and above","2 to 3","Often","Sometimes","Definitely"
"45 to 64","2 to 3","Often","Rarely","Probably"
"45 to 64","Less than 1","Rarely","Sometimes","Neutral"
"45 to 64","3 to 4","Often","Often","Probably"
"65 and above","1 to 2","Often","Never","Neutral"
"45 to 64","2 to 3","Always","Rarely","Probably not"
"65 and above","1 to 2","Often","Rarely","Probably"
"65 and above","1 to 2","Often","Rarely","Definitely not"
"65 and above","1 to 2","Sometimes","Sometimes","Probably"
"45 to 64","1 to 2","Often","Rarely","Probably not"
"65 and above","1 to 2","Sometimes","Rarely","Neutral"
"19 to 44","2 to 3","Often","Rarely","Probably"
"19 to 44","1 to 2","Sometimes","Sometimes","Definitely not"
"19 to 44","3 to 4","Always","Always","Probably not"
"65 and above","1 to 2","Often","Sometimes","Neutral"
"19 to 44","1 to 2","Sometimes","Sometimes","Probably not"
"45 to 64","More than 4","Always","Rarely","Probably"
"65 and above","2 to 3","Always","Rarely","Neutral"
"65 and above","Less than 1","Often","Rarely","Neutral"
"65 and above","1 to 2","Sometimes","Rarely","Probably"
"45 to 64","2 to 3","Often","Rarely","Probably"
"65 and above","1 to 2","Often","Never","Probably not"
"19 to 44","1 to 2","Sometimes","Sometimes","Neutral"
"65 and above","1 to 2","Often","Rarely","Probably"
"19 to 44","Less than 1","Rarely","Sometimes","Probably"
"65 and above","3 to 4","Often","Rarely","Probably"
"65 and above","Less than 1","Often","Often","Probably"
"65 and above","2 to 3","Always","Sometimes","Probably"
"45 to 64","1 to 2","Often","Rarely","Probably"
"45 to 64","1 to 2","Sometimes","Always","Probably"
"19 to 44","1 to 2","Often","Never","Neutral"
"45 to 64","1 to 2","Sometimes","Sometimes","Probably"
"65 and above","Less than 1","Sometimes","Rarely","Probably"
"65 and above","1 to 2","Often","Rarely","Probably"
"65 and above","1 to 2","Often","Rarely","Probably"
"65 and above","2 to 3","Often","Never","Neutral"
"45 to 64","1 to 2","Sometimes","Often","Neutral"
"65 and above","1 to 2","Often","Sometimes","Probably"
"19 to 44","Less than 1","Often","Never","Neutral"
"19 to 44","1 to 2","Often","Rarely","Probably"
"45 to 64","1 to 2","Sometimes","Sometimes","Probably"
"19 to 44","Less than 1","Often","Rarely","Definitely"
"65 and above","1 to 2","Often","Sometimes","Definitely not"
"19 to 44","2 to 3","Sometimes","Often","Probably"
"45 to 64","2 to 3","Often","Rarely","Probably"
"45 to 64","Less than 1","Often","Always","Definitely"
"12 and under","1 to 2","Often","Rarely","Probably"
"19 to 44","1 to 2","Often","Never","Probably"
"19 to 44","1 to 2","Often","Rarely","Neutral"
"45 to 64","2 to 3","Sometimes","Sometimes","Neutral"
"19 to 44","Less than 1","Often","Rarely","Probably"
"65 and above","1 to 2","Often","Sometimes","Probably"
"19 to 44","2 to 3","Often","Rarely","Probably"
"19 to 44","1 to 2","Rarely","Rarely","Probably"
"65 and above","1 to 2","Often","Never","Probably not"
"19 to 44","2 to 3","Sometimes","Rarely","Probably"
"19 to 44","1 to 2","Often","Often","Neutral"
"45 to 64","2 to 3","Often","Sometimes","Probably"
